ID,Visitor ID,Start Time,Channel,Source,Utm Source,Utm Term,Utm Campaign
27618,1944288878,2019-03-01T00:08:53,organic,yandex.ru,,,
27619,1944305410,2019-03-01T00:28:20,organic,yandex.ru,,,
27620,1944310806,2019-03-01T00:35:17,organic,yandex.ru,,,
27621,1944326300,2019-03-01T00:58:12,organic,www.google.com,,,
27622,1944331926,2019-03-01T01:07:28,internal,stepanov.com,,,
27623,1944338402,2019-03-01T01:19:19,organic,go.mail.ru,,,
27624,1944339810,2019-03-01T01:21:55,organic,www.google.com,,,
27625,1695082514,2019-03-01T01:36:13,internal,ovchinnikova.com,,,
27626,1944350808,2019-03-01T01:45:31,organic,www.google.ru,,,
27627,1944356634,2019-03-01T02:00:09,organic,yandex.ru,,,
27628,1944364888,2019-03-01T02:22:35,internal,stepanov.com,,,
27629,1820658966,2019-03-01T02:50:43,direct,,,,
27630,1944376862,2019-03-01T02:58:14,direct,,,,
27631,1944378728,2019-03-01T03:04:46,organic,www.google.com,,,
27632,1944384030,2019-03-01T03:22:04,organic,yandex.ru,,,
27633,1820658966,2019-03-01T03:37:02,direct,,,,
27634,1944396810,2019-03-01T04:03:27,organic,www.google.com,,,
27635,1810150510,2019-03-01T04:46:54,organic,www.google.com,,,
27636,1944412822,2019-03-01T04:51:25,direct,,,,
27637,1944434662,2019-03-01T05:47:35,organic,yandex.ru,,,
27638,1944437962,2019-03-01T05:55:01,organic,www.google.com,,,
27639,1944442766,2019-03-01T06:04:50,organic,www.google.com,,,
27640,1944450664,2019-03-01T06:19:40,organic,www.google.com,,,
27641,1944454182,2019-03-01T06:26:05,organic,yandex.ru,,,
27642,1944454442,2019-03-01T06:26:31,direct,,,,
27643,1785694686,2019-03-01T06:43:26,organic,www.google.com,,,
27644,1944479286,2019-03-01T07:05:17,organic,www.google.ru,,,
27645,1944500920,2019-03-01T07:32:15,organic,www.google.com.ua,,,
27646,1944501492,2019-03-01T07:32:57,organic,www.google.com,,,
27647,1944504392,2019-03-01T07:36:23,direct,,,,
27648,1944509246,2019-03-01T07:41:51,organic,www.google.com,,,
27649,1944511272,2019-03-01T07:43:59,organic,yandex.ru,,,
27650,1944512146,2019-03-01T07:44:59,organic,www.google.ru,,,
27651,1361361138,2019-03-01T07:45:26,organic,www.google.com,,,
27652,1944515886,2019-03-01T07:48:51,organic,www.google.ru,,,
27653,1944527042,2019-03-01T08:00:10,organic,yandex.ru,,,
27654,1944557746,2019-03-01T08:25:23,organic,yandex.ru,,,
27655,1944566056,2019-03-01T08:31:42,organic,yandex.ru,,,
27656,1944576372,2019-03-01T08:39:24,organic,yandex.ru,,,
27657,1944582374,2019-03-01T08:43:47,organic,www.google.com,,,
27658,1944586566,2019-03-01T08:46:49,organic,yandex.ru,,,
27659,1944591798,2019-03-01T08:50:30,organic,www.google.com,,,
27660,1944595200,2019-03-01T08:52:48,organic,www.google.com,,,
27661,1944624502,2019-03-01T09:10:47,direct,,,,
27662,1944640396,2019-03-01T09:19:41,organic,www.google.com,,,
27663,1944647474,2019-03-01T09:23:32,organic,www.google.com,,,
27664,1944668986,2019-03-01T09:35:11,organic,yandex.ru,,,
27665,1944673190,2019-03-01T09:37:21,organic,www.google.com,,,
27666,1941400184,2019-03-01T09:39:51,internal,ovchinnikova.com,,,
27667,1944682940,2019-03-01T09:42:21,referral,kirillova.edu,,,
27668,1859872142,2019-03-01T09:46:38,organic,yandex.ru,,,
27669,1944698994,2019-03-01T09:50:40,organic,www.google.com,,,
27670,1944708082,2019-03-01T09:55:17,organic,www.google.com,,,
27671,1944718364,2019-03-01T10:00:27,organic,yandex.ru,,,
27672,1944719772,2019-03-01T10:01:08,organic,www.google.com,,,
27673,1878308972,2019-03-01T10:05:58,internal,ovchinnikova.com,,,
27674,1944756346,2019-03-01T10:18:29,organic,yandex.ru,,,
27675,1944761170,2019-03-01T10:20:47,organic,www.google.com,,,
27676,1944762390,2019-03-01T10:21:20,organic,go.mail.ru,,,
27677,1944763006,2019-03-01T10:21:37,direct,,,,
27678,1944764162,2019-03-01T10:22:10,direct,,,,
27679,1944576372,2019-03-01T10:23:46,direct,,,,
27680,1944768340,2019-03-01T10:24:15,organic,www.google.ru,,,
27681,1944769144,2019-03-01T10:24:37,organic,www.google.com,,,
27682,1944770894,2019-03-01T10:25:26,organic,yandex.ru,,,
27683,1944771132,2019-03-01T10:25:32,organic,yandex.ru,,,
27684,1944792132,2019-03-01T10:35:13,organic,www.google.com,,,
27685,1944815002,2019-03-01T10:45:38,organic,yandex.ru,,,
27686,1944821844,2019-03-01T10:48:34,organic,yandex.ru,,,
27687,1944823362,2019-03-01T10:49:15,organic,www.google.com,,,
27688,1944827780,2019-03-01T10:51:10,organic,www.google.com,,,
27689,1944839346,2019-03-01T10:56:21,organic,go.mail.ru,,,
27690,1944847830,2019-03-01T11:00:09,organic,www.google.com,,,
27691,1938819532,2019-03-01T11:03:49,internal,ovchinnikova.com,,,
27692,1944872578,2019-03-01T11:11:05,organic,yandex.ru,,,
27693,1944893318,2019-03-01T11:20:11,organic,yandex.ru,,,
27694,1944905424,2019-03-01T11:25:23,organic,www.google.com,,,
27695,1906453188,2019-03-01T11:26:16,internal,ovchinnikova.com,,,
27696,1944910612,2019-03-01T11:27:42,organic,www.google.ru,,,
27697,1942521168,2019-03-01T11:28:23,direct,,,,
27698,1944915182,2019-03-01T11:29:42,internal,stepanov.com,,,
27699,1458275416,2019-03-01T11:31:40,organic,go.mail.ru,,,
27700,1944922976,2019-03-01T11:33:05,direct,,,,
27701,1944938628,2019-03-01T11:39:41,organic,www.google.com,,,
27702,1944943124,2019-03-01T11:41:38,organic,www.google.com,,,
27703,1944949352,2019-03-01T11:44:13,organic,go.mail.ru,,,
27704,1879887894,2019-03-01T11:54:47,organic,www.google.com,,,
27705,1944983854,2019-03-01T11:58:53,organic,www.google.com.ua,,,
27706,1894687390,2019-03-01T12:19:57,organic,www.google.com,,,
27707,1938229364,2019-03-01T12:21:23,organic,yandex.ru,,,
27708,1945042302,2019-03-01T12:23:28,organic,www.google.com,,,
27709,1945054204,2019-03-01T12:28:32,organic,yandex.ru,,,
27710,1943615252,2019-03-01T12:29:27,internal,ovchinnikova.com,,,
27711,1910308718,2019-03-01T12:33:19,direct,,,,
27712,1945068060,2019-03-01T12:34:20,organic,www.google.com,,,
27713,1945083284,2019-03-01T12:40:47,organic,www.google.com,,,
27714,1945087748,2019-03-01T12:42:43,organic,www.google.com,,,
27715,1945088186,2019-03-01T12:42:55,organic,www.google.com,,,
27716,1880583040,2019-03-01T12:47:12,direct,,,,
27717,1945097858,2019-03-01T12:47:13,organic,yandex.ru,,,
27718,1945100438,2019-03-01T12:48:18,organic,yandex.ru,,,
27719,1945104030,2019-03-01T12:49:49,organic,yandex.ru,,,
27720,1945119368,2019-03-01T12:56:31,organic,www.google.ru,,,
27721,1945126122,2019-03-01T12:59:25,organic,www.google.com,,,
27722,1945143176,2019-03-01T13:06:47,organic,yandex.ru,,,
27723,1945155738,2019-03-01T13:12:21,organic,yandex.ru,,,
27724,1945160186,2019-03-01T13:14:14,organic,www.google.com,,,
27725,1335089730,2019-03-01T13:16:30,direct,,,,
27726,1945166644,2019-03-01T13:16:53,organic,yandex.ru,,,
27727,1945168556,2019-03-01T13:17:42,internal,ovchinnikova.com,,,
27728,1945180688,2019-03-01T13:22:57,organic,yandex.ru,,,
27729,1905497186,2019-03-01T13:23:13,organic,yandex.ru,,,
27730,1945184584,2019-03-01T13:24:39,organic,yandex.ru,,,
27731,1945186320,2019-03-01T13:25:23,internal,stepanov.com,,,
27732,1643920520,2019-03-01T13:25:37,organic,yandex.ru,,,
27733,1945189218,2019-03-01T13:26:38,organic,www.google.com,,,
27734,1941400184,2019-03-01T13:34:06,organic,yandex.ru,,,
27735,1945209138,2019-03-01T13:35:07,organic,www.google.com,,,
27736,1945216678,2019-03-01T13:38:21,direct,,,,
27737,1945242692,2019-03-01T13:49:34,organic,www.google.com,,,
27738,1945246172,2019-03-01T13:51:03,internal,ovchinnikova.com,,,
27739,1945252960,2019-03-01T13:54:00,organic,www.google.com,,,
27740,1928603504,2019-03-01T14:00:06,organic,yandex.ru,,,
27741,1945275768,2019-03-01T14:03:42,direct,,,,
27742,1945281754,2019-03-01T14:06:15,organic,yandex.ru,,,
27743,1945284756,2019-03-01T14:07:32,organic,yandex.ru,,,
27744,1944762390,2019-03-01T14:07:53,organic,go.mail.ru,,,
27745,1940218824,2019-03-01T14:08:18,direct,,,,
27746,1945289508,2019-03-01T14:09:33,organic,www.google.com,,,
27747,1945296722,2019-03-01T14:12:44,organic,www.google.com,,,
27748,1945300262,2019-03-01T14:14:22,organic,www.google.com,,,
27749,1945313558,2019-03-01T14:20:06,organic,yandex.ru,,,
27750,1316387704,2019-03-01T14:20:10,organic,yandex.ru,,,
27751,1945323752,2019-03-01T14:24:19,direct,,,,
27752,1945335132,2019-03-01T14:29:10,organic,www.google.com,,,
27753,1942560044,2019-03-01T14:33:46,organic,www.google.com,,,
27754,1945352026,2019-03-01T14:36:28,organic,www.google.com.tr,,,
27755,1945371110,2019-03-01T14:44:47,organic,www.google.com,,,
27756,1945381108,2019-03-01T14:49:08,organic,yandex.ru,,,
27757,1440490352,2019-03-01T14:51:43,direct,,,,
27758,1945389250,2019-03-01T14:52:36,organic,www.google.com,,,
27759,1945398816,2019-03-01T14:56:41,organic,yandex.ru,,,
27760,1499243024,2019-03-01T15:00:29,direct,,,,
27761,1945410836,2019-03-01T15:01:46,organic,www.google.ru,,,
27762,1934276528,2019-03-01T15:04:23,organic,yandex.ru,,,
27763,1945418432,2019-03-01T15:05:06,organic,www.google.ru,,,
27764,1728785484,2019-03-01T15:07:06,organic,yandex.ru,,,
27765,1945425870,2019-03-01T15:08:10,direct,,,,
27766,1945428718,2019-03-01T15:09:24,organic,ignatov.ru,,,
27767,1945432730,2019-03-01T15:11:10,organic,www.google.com,,,
27768,1945434422,2019-03-01T15:11:53,organic,www.google.com,,,
27769,1945436688,2019-03-01T15:12:52,organic,www.yandex.ru,,,
27770,1945439518,2019-03-01T15:13:59,organic,go.mail.ru,,,
27771,1945442976,2019-03-01T15:15:29,organic,www.google.com,,,
27772,1627556548,2019-03-01T15:18:07,internal,ovchinnikova.com,,,
27773,1945457632,2019-03-01T15:21:55,organic,www.google.com,,,
27774,1944762390,2019-03-01T15:25:08,direct,,,,
27775,1367027400,2019-03-01T15:27:09,organic,www.google.com,,,
27776,1945469628,2019-03-01T15:27:11,organic,www.google.com,,,
27777,1525221082,2019-03-01T15:27:15,organic,yandex.ru,,,
27778,1576834662,2019-03-01T15:27:46,organic,go.mail.ru,,,
27779,1945475760,2019-03-01T15:29:48,organic,go.mail.ru,,,
27780,1581746756,2019-03-01T15:31:23,organic,www.google.com,,,
27781,1945480058,2019-03-01T15:31:44,organic,www.google.com,,,
27782,1945482260,2019-03-01T15:32:44,organic,yandex.ru,,,
27783,1897867920,2019-03-01T15:42:38,organic,www.yandex.ru,,,
27784,1945511360,2019-03-01T15:45:29,organic,www.google.ru,,,
27785,1945512926,2019-03-01T15:46:11,organic,www.google.com.ua,,,
27786,1945521570,2019-03-01T15:50:01,organic,www.google.ru,,,
27787,1942097770,2019-03-01T15:53:40,organic,yandex.ru,,,
27788,1945551726,2019-03-01T16:03:38,organic,yandex.ru,,,
27789,1938819532,2019-03-01T16:07:38,internal,ovchinnikova.com,,,
27790,1945571110,2019-03-01T16:12:32,organic,www.google.com,,,
27791,1935922686,2019-03-01T16:14:29,direct,,,,
27792,1945584484,2019-03-01T16:18:22,organic,www.google.ru,,,
27793,1945599574,2019-03-01T16:25:19,organic,www.google.ru,,,
27794,1945601336,2019-03-01T16:26:11,organic,www.google.com,,,
27795,1945607846,2019-03-01T16:29:18,organic,yandex.ru,,,
27796,1945607990,2019-03-01T16:29:22,organic,www.google.com,,,
